team,player,chant_title,youtube_url,type,,,,,,
두산,팀,경기 시작 전 응원가,https://youtu.be/gs9wCs3lCRQ?si=kafj8RX5Nxu-vfgb,team,플리 안에 있음,,,,,
,,라인업 송,https://youtu.be/FyJlmwb4tv8?si=2_oXjVnBnVmDmZzy,,,,,,,
,,우리 두산 멋진 두산,https://youtu.be/ZMwKOJFVEGA,,,,,,,
,,승리의 두산,https://youtu.be/j2-5n7V16oE,,,,,,,
,,날아올라,https://www.youtube.com/watch?v=ctI_7RK2Bno,,,,,,,1
,,라랄라 두산 베어스,https://youtu.be/jljFz0jgWqI,,,,,,,
,,최강두산 승리하라,https://youtu.be/rdypuB4eg7s,,,,,,,
,,야야야 두산!,https://youtu.be/IR_FZlzmWrM,,,,,,,
,,다함께 허슬두,https://youtu.be/cFIMAclyaUg,,,,,,,
,,승리의 송가,https://youtu.be/AUOEXZsQWkE,,,,,,,
,,Rock to the Doosan,https://youtu.be/J8rJUbc5dyg,,,,,,,
,,해야 해야,https://youtu.be/SLGUrACFZoU,,,,,,,
,,허슬두,https://youtu.be/qQUvle_EdGY,,,,,,,
,,"Bravo, My Life!",https://youtu.be/HTiaOyt81cA,,,,,,,
,,승리를 위하여,https://youtu.be/0vRJ9pmCAY4,,,,,,,
,,해냈다! 두산,https://youtu.be/rGRvTs5c09A,,,,,,,
,,미라클 두산,https://youtu.be/DCjtMp6ileM,,,,,,,
,,Victory Bears,https://www.youtube.com/watch?v=zSPLG4U4POM,,,,,,,
,,우리의 베어스,https://www.youtube.com/watch?v=MCfrI5IJ6m4&feature=youtu.be,,,,,,,
,,해야,https://youtu.be/zgreU91V1dY,,,,,,,
,,안타송 1,https://www.youtube.com/watch?v=dzi4V16dCdg&ab_channel=BASEBALLISMYLIFE,,,,,,,
,,안타송 2,https://www.youtube.com/watch?v=UlFJpFIhkVo,,,,,,,
,,안타송 3,https://www.youtube.com/watch?v=7pWJGY1ExNo,,,,,,,
,,압구정 날라리,https://youtu.be/RuVSMnMXlGY,,,,,,,
LG,팀,경기 개시 응원가,https://youtu.be/Tu0pVzxEzCI,team,,,,,,
,,라인업 송,https://youtu.be/VLj1gEWCv6s,,,,,,,
,,셀리오,https://youtu.be/yT5E2KY3eqE,,,,,,,
,,승리의 노래,https://youtu.be/CeGiBg9eXG0,,,,,,,
,,서울의 아리아,https://youtu.be/xr6wPZxyhxI,,,,,,,
,,LG 없이는 못 살아,https://youtu.be/QQNMYoZNCUk,,,,,,,
,,사랑한다 LG,https://youtu.be/krepCcWmdgY,,,,,,,
,,최후의 결투,https://youtu.be/ctCEN81Bit8,,,,,,,
,,Forever LG,https://youtu.be/XCtZRC7PkK0,,,,,,,
,,엘팬의 북소리,https://youtu.be/PsQzWe9bMc0,,,,,,,
,,우리의 함성,https://youtu.be/I11WJNBuiPI,,,,,,,
,,무적의 LG,https://youtu.be/Bd0ufD-2iUY,,,,,,,
,,뉴셀리오,https://youtu.be/3biudnUgC1s,,,,,,,
,,승리하라 LG여,https://youtu.be/tiZ6xJIWO0c,,,,,,,
,,승리의 포효,https://youtu.be/RBSW-o72hwg,,,,,,,
,,나의 사랑 서울 LG,https://youtu.be/CGiM3wcKyvA,,,,,,,
,,LG여 비상하라,https://youtu.be/X2KkDJIlhaE,,,,,,,
,,GO! TWINS,https://youtu.be/Jic2tGtyHEw,,,,,,,
,,사랑하는 LG,https://youtu.be/XAAALQGhfRM,,,,,,,
,,달려간다,https://youtu.be/ZQZ34yonN_s,,,,,,,
,,LG의 승리 위해,https://youtu.be/JHZ70GxjjeI,,,,,,,
,,LG의 승리를 위하여,https://youtu.be/Rd5qh4tGAzI,,,,,,,
,,사랑해요 LG,https://www.youtube.com/watch?v=tv-Gfw2xuYU,,,,,,,
,,서울 메들리,https://youtu.be/D9DdQkWYys4,,,,,,,
,,서울의 찬가,https://www.youtube.com/watch?v=UNSUjQJ61AU,,,,,,,
,,서울의 모정,https://youtu.be/5GsgyK-189o,,,,,,,
,,아파트,https://youtu.be/lPBank3Oo6k,,,,,,,
,,여행을 떠나요,https://youtu.be/XIFFQcfIToQ,,,,,,,
,,공동 안타송 - 님과 함께,https://youtu.be/Ia3JCQNtOOs,,,,,,,
,,견제 응원,https://youtu.be/e2YBd7l5nOM,,,,,,,
,,풀카운트 응원,https://youtu.be/Z9WVjkPsQws,,,,,,,
,,타자 공통 등장음악,https://youtu.be/p3PPxW6WzS8,,,,,,,
,,투수 교체 응원 - 강해져라,https://youtu.be/NFb43xlbIJ0,,,,,,,
,,투수 교체 응원 - 빰빠라밤,https://youtu.be/DTP52m8eIAA,,,,,,,
,,안타 응원가 - Orange Disco,https://youtu.be/Z47k3iQfh-U,,,,,,,
기아,팀,KIA 없이는 못 살아,https://youtu.be/6RiMyqT3_t0,team,,,,,,
,,라인업송,https://youtu.be/gGQatgXq2Ww,,,,,,,
,,사랑한다 KIA,https://youtu.be/cGs5swSDvJ8,,,,,,,
,,영원하리라 KIA 타이거즈,https://youtu.be/d9ulphHCWSs,,,,,,,
,,광주의 함성 (승리의 이름),https://youtu.be/iTPWsq1msBU,,,,,,,
,,최강 KIA를 위해,https://youtu.be/aSoo8TlAxnU,,,,,,,
,,KIA를 응원하라,https://youtu.be/zFLZh4TWqW8,,,,,,,
,,버터플라이,https://www.youtube.com/watch?v=2stkuZRLIug,,,,,,,
,,빠바밤송,youtube.com/watch?v=MpkNBckU2LE&feature=youtu.be,,,,,,,
,,언제나 승리하리,youtube.com/watch?v=l1gD_KInmgo&feature=youtu.be,,,,,,,
,,KIA를 사랑하라,youtube.com/watch?v=DPi1RokUN8c&feature=youtu.be,,,,,,,
,,열광하라 최강 KIA,https://www.youtube.com/watch?app=desktop&v=hnRpJovN_lc,,,,,,,
,,우리는 하나,https://youtu.be/SowLIvc9lAM,,,,,,,
,,팡팡,https://youtu.be/FxNz0OMvc_c,,,,,,,
,,WANTED,https://youtu.be/8XXY7-_Qci4,,,,,,,
,,열광하라 타이거즈,https://youtu.be/pSSk6apWIbo,,,,,,,
,,외쳐라 최강 KIA,https://youtu.be/yirww4738cs,,,,,,,
,,붉은 노을,https://www.youtube.com/watch?v=LVIXH2g5RY8,,,,,,,
,,최강 KIA 승리하리라,https://youtu.be/IRRg6vsnedw,,,,,,,
,,승리를 위해 함께 부르자,https://www.youtube.com/watch?v=S-WV0dUw01w,,,,,,,
,,승리를 위해,https://www.youtube.com/watch?v=MtKPgo85Bq8,,,,,,,
,,오! 최강기아,https://www.youtube.com/watch?v=Hw0xWjbMLxo,,,,,,,
,,남행열차,https://youtu.be/ssWocIQL51c,,,,,,,
,,승리를 위하여,https://www.youtube.com/watch?v=BPAS2POnhsU,,,,,,,
,,공용 응원가 타자 1,https://www.youtube.com/watch?v=I8nLwrJopew,,,,,,,
,,공용 응원가 타자 2,https://www.youtube.com/watch?v=FVKIvhz6COQ,,,,,,,
,,공용 응원가 타자 3,https://www.youtube.com/watch?v=fxSRp-uMm6Y,,,,,,,
롯데,팀,부산 갈매기,https://youtu.be/V0b9WKYZ59s,team,,,,,,
,,돌아와요 부산항에,https://youtu.be/62jAw0CHZKA,,,,,,,
,,바다새,https://youtu.be/EkIgSyeqCLk,,,,,,,
,,뱃노래,https://youtu.be/vd7zBbhRiJg,,,,,,,
,,승전가,https://youtu.be/NSR5kAxIEi0,,,,,,,
,,Dream of Ground,https://youtu.be/vDpPwRO55fU,,,,,,,
,,소리높여 외쳐보자,https://youtu.be/G-4SwaSDcKY,,,,,,,
,,챔피언 롯데,https://youtu.be/uRY5UPtf1sQ,,,,,,,
,,승리를 외치자(할아버지 시계),https://youtu.be/mVljgah999k,,,,,,,
,,힘차게 외쳐보자,https://youtu.be/RWglJ4EEmyU,,,,,,,
,,화이팅송,https://youtu.be/Pffx56Zb9-4,,,,,,,
,,오 최강롯데,https://youtu.be/PbVT6XRN_R8,,,,,,,
,,롯데의 승리를 외치자,https://youtu.be/t3gYyE3UybQ,,,,,,,
,,오늘도 승리한다,https://youtu.be/RPJdvochneY,,,,,,,
,,승리는 누구,https://youtu.be/FTkvihIJtZ4,,,,,,,
,,올웨이즈 롯데,https://youtu.be/pc01FNYCnBM,,,,,,,
,,승리의 거인군단,https://youtu.be/kznyCk5IFhQ,,,,,,,
,,내 사랑 부산,https://youtu.be/ZyXQPqzU3eQ,,,,,,,
,,영광의 순간,https://youtu.be/_hWa_T6Ku8U,,,,,,,
,,열정과 낭만,https://youtu.be/vS5NVppBOPY,,,,,,,
,,마! 최강롯데 아이가!,https://youtu.be/7qhk9I2K6Jc,,,,,,,
,,우리들의 빛나는 이 순간,https://youtu.be/K9xm7kaV6MA,,,,,,,
,,투혼투지,https://youtu.be/AukYP3Rh9A0,,,,,,,
,,승리를 위한 전진,https://youtu.be/bjj3Kp13UVA,,,,,,,
,,기본 리듬 응원,https://youtu.be/dSjBZ-9qD4A,,,,,,,
,,경기 개시 응원가,https://youtu.be/Rrz1yCv1c04,,,,,,,
,,공격 라인업송,https://youtu.be/0SjXxiFfMUM,,,,,,,
,,수비 라인업송,https://youtu.be/uUm-LXLmm-Q,,,,,,,
,,삼진송,https://youtu.be/PyUo3LYgCaU,,,,,,,
,,풀카운트송,https://youtu.be/KwodDhFP75M,,,,,,,
,,안타송 (0번 타자),https://youtu.be/kJHNA2FEKqc,,,,,,,
,,안타송 (가자가자),https://youtu.be/u-mxEGETByE,,,,,,,
,,안타송 (열혈남아),https://youtu.be/goAnHA6bPwg,,,,,,,
,,안타송 (폼페로),https://youtu.be/BhMwnZIDPYo,,,,,,,
,,볼넷송 (살리고 달리고),https://youtu.be/Cn_V6TZxUIM,,,,,,,
,,볼넷송 (좋아 좋아),https://youtu.be/Wltt0imZ5zk,,,,,,,
삼성,팀,라인업송,https://youtu.be/x2In1eYuVbk,team,,,,,,
,,6회 라인업송 - 다시 한 번 힘을 내라,https://youtu.be/zLwuTK0u0CI,,,,,,,
,,환희,https://youtu.be/EziuflQDU38,,,,,,,
,,나의 라이온즈,https://youtu.be/L-5aa-5xqOI,,,,,,,
,,혼연일체,https://youtu.be/-7wONUphx74,,,,,,,
,,엘도라도,https://youtu.be/euO5P5XtXF0,,,,,,,
,,승리를 위해,https://youtu.be/NdhSpZWAh5M,,,,,,,
,,승리의 라이온즈,https://youtu.be/IbQAFCHxymQ,,,,,,,
,,TOGETHER,https://youtu.be/8HWQ980qLqA,,,,,,,
,,2020 승리하라 최강삼성 (사자후),https://youtu.be/PTy-pX5hYrw,,,,,,,
,,승리의 그 이름,https://youtu.be/Jagpqc0u294,,,,,,,
,,우리들의 함성,https://youtu.be/fJgaGP8mjFo,,,,,,,
,,사랑한다 나의 삼성,https://youtu.be/N71si7qeMV8,,,,,,,
,,언제나,https://youtu.be/uojEbIIGyPo,,,,,,,
,,영원하라 라이온즈여,https://youtu.be/K7-l1xITy14,,,,,,,
,,이 파도의 저 끝에서,https://youtu.be/CJwN_HeKrZA,,,,,,,
,,푸른 심장아 뛰어라,https://youtu.be/Qo9uIAXwkZ0,,,,,,,
,,푸른 함성,https://youtu.be/RGp3R3HpShA,,,,,,,
,,안타송 - HONEY,https://youtu.be/4I9R01QTDTs,,,,,,,
,,안타송 - 안타를 쳐줘요 베이베,https://youtu.be/oCNOup9fE9E,,,,,,,
,,안타송 - 안타 가즈아,https://youtu.be/i2_oJ4gULtE,,,,,,,
,,안타송 - 안!타! 우와~,https://youtu.be/559dZjkSct0,,,,,,,
,,쭉쭉 날려버려,https://youtu.be/tgMc-hREdAc,,,,,,,
,,어깨춤 안타송,https://youtu.be/oxakUUOrM8o,,,,,,,
,,오도바이 안타송,https://youtu.be/RgtZzK6Ak6A,,,,,,,
,,풀카운트송,https://youtu.be/fFV_6z90kJc,,,,,,,
,,리듬응원,https://youtu.be/U8vHnJZ-voE,,,,,,,
,,최강삼성 화이팅,https://youtu.be/KCuHPfSo4Mo,,,,,,,
,,모두 외쳐라,https://youtu.be/0HjJIJvkqC4,,,,,,,
,,외쳐라 삼성,https://youtu.be/AWh1zJtK-jM,,,,,,,
,,우리는 삼성,https://youtu.be/ASAAiWePf7s,,,,,,,
,,승리하라 삼성 라이온즈여,https://youtu.be/8ku9LJjUhyQ,,,,,,,
,,더 크게 외쳐라,https://youtu.be/S8w2zLisp7M,,,,,,,
,,신나게 삼성,https://youtu.be/rGZ82NPaA4I,,,,,,,
,,하나되는 박수,https://youtu.be/YulRDQh32Rc,,,,,,,
,,야이야이야,https://youtu.be/g02OoUkqdD4,,,,,,,
,,빅토리 라이온즈,https://youtu.be/Bl8pGytn694,,,,,,,
,,볼넷송 - 오케이,https://youtu.be/dAuSsMIdtGk,,,,,,,
,,볼넷송 - 베토벤 교향곡 제 9번,https://youtu.be/U8vHnJZ-voE,,,,,,,
,,삼진송 - 빠이빠이야,https://youtu.be/r61r098OS4w,,,,,,,
SSG,팀,We are the Landers!,https://youtu.be/zX7uot4biaQ,team,,,,,,
,,승리의 깃발,https://youtu.be/4wXW-H4Gs3Q,,,,,,,
,,랜더스여,https://youtu.be/baseGQapOf0,,,,,,,
,,우린 랜더스,https://youtu.be/OJZZJUsWU3I,,,,,,,
,,투혼의 랜더스,https://youtu.be/WlMujqD6EYs,,,,,,,
,,승리를 외쳐라,https://youtu.be/IktjkWNNcjw,,,,,,,
,,외쳐라 랜더스,https://youtu.be/3CLqlpoypI0,,,,,,,
,,경기 개시 응원가,https://youtu.be/iIiArG9LfPs,,,,,,,
,,라인업송,https://youtu.be/F6pAKnBc544,,,,,,,
,,나아가자 랜더스,https://youtu.be/hTVtzR3zijM,,,,,,,
,,프론티어 랜더스,https://youtu.be/YKCSugai9Gw,,,,,,,
,,항해하라 랜더스,https://youtu.be/KyPEdDmLP-o,,,,,,,
,,되고송,https://youtu.be/-R_ImYufems,,,,,,,
,,인천 SSG,https://youtu.be/91KbVRxe6xM,,,,,,,
,,GO!,https://youtu.be/KY_wnhXEyCY,,,,,,,
,,풀카운트송,https://youtu.be/CyGnxZJKrAM,,,,,,,
,,뱃고동 소리,https://youtu.be/XHxGD_ZsKEo,,,,,,,
,,득점 찬스,https://youtu.be/LJ_t-w-jqhI,,,,,,,
,,비디오 판독 음악,https://youtu.be/qRG69U2jUgI,,,,,,,
,,Stand Up,https://youtu.be/o3btym6qG3A,,,,,,,
,,응원단 등장 음악,https://youtu.be/8rzRH7y6KUw,,,,,,,
,,신규 볼넷송,https://youtu.be/4IOi9-k_iic,,,,,,,
,,견제 응원,https://youtu.be/ChNLEVTbsRI,,,,,,,
,,도루송,https://youtu.be/NsTjlMz6fUM,,,,,,,
,,마운드 방문,https://youtu.be/XW-dHaPEjn4,,,,,,,
,,연안부두,https://youtu.be/It4KMVKbZBk,,,,,,,
,,아파트,https://youtu.be/Rmish2eOu0k,,,,,,,
,,삐딱하게,https://youtu.be/AGp4mSaSyVw,,,,,,,
,,불티,https://youtu.be/k9j45afEFq8,,,,,,,
,,J에게,https://youtu.be/4yQREtQIloM,,,,,,,
키움,팀,라인업송,https://youtu.be/xIxBqCEKWGQ,team,,,,,,
,,영웅 출정가,https://youtu.be/antR6UYqZKk,,,,,,,
,,기를 높여라,https://youtu.be/8Mw4igEytKY,,,,,,,
,,승리가,https://youtu.be/CdXdgZDMvTU,,,,,,,
,,꿈이여 하나가 되자,https://youtu.be/jFkiL_xb5aU,,,,,,,
,,승리를 위하여,https://youtu.be/DqiP4UvS7CQ,,,,,,,
,,하늘 끝까지,https://youtu.be/PvqICHL1hl8,,,,,,,
,,New Heros Come Here,https://youtu.be/AlNOAp6IkEo,,,,,,,
,,승리를 위한 함성(승리의 함성),https://youtu.be/7p2U-yr-clQ,,,,,,,
,,히어로즈의 노래,https://youtu.be/p6hN2g45Vrg,,,,,,,
,,안타송 1,https://youtu.be/U5jfL0dZjms,,,,,,,
,,안타송 2,https://youtu.be/792Xz2Zjg4U,,,,,,,
,,안타송 3,https://youtu.be/Zo37monfh9c,,,,,,,
,,안타송 4,https://youtu.be/A_WJsaUhkpA,,,,,,,
,,홈런송,https://youtu.be/ILgLPs2tgbc,,,,,,,
,,볼넷송,https://youtu.be/3xI497BjRdE,,,,,,,
,,히어로,https://youtu.be/XrwKhoL8yUo,,,,,,,
,,외쳐라 히어로즈,https://youtu.be/WLcPgOLKM9g,,,,,,,
,,WIN THE CHAMPIONSHIP,https://youtu.be/LrzbeyxFCSo,,,,,,,
,,Let's Go Together Hero,https://youtu.be/Gv7dSeuJku0,,,,,,,
,,나의 사랑 히어로,https://youtu.be/fpJw6LHw2Zw,,,,,,,
,,히어로즈 만만세,https://youtu.be/6fCBQONYzQY,,,,,,,
,,견제 응원,https://youtu.be/rFdtL_hSZ4U,,,,,,,
,,삼진송,https://youtu.be/ebKZrHwgTjk,,,,,,,
,,풀카운트송,https://youtu.be/Q-2Fdb6lfPk,,,,,,,
KT,팀,라인업송,https://youtu.be/b93bdB1SjXs,team,,,,,,
,,투혼가,https://youtu.be/bsWBORqEjpI,,,,,,,
,,Don't Stop KT,https://youtu.be/vzsDodd6Xew,,,,,,,
,,KT WIZ 영원하리라,https://youtu.be/CuvZfdJP1iA,,,,,,,
,,KT의 승리 위해,https://youtu.be/MTQzXVu_S4g,,,,,,,
,,Let's go kt wiz,https://youtu.be/KlIsU2Vhm3Q,,,,,,,
,,We are the kt wiz,https://youtu.be/vcIzm0wvO90,,,,,,,
,,승리하라 kt wiz,https://youtu.be/N0aW-qIIrNM,,,,,,,
,,마법의 성,https://youtu.be/rHYkpMF77Lo,,,,,,,
,,비상하라 KT,https://youtu.be/yCTKmwQvMaU,,,,,,,
,,사랑한다 수원 KT,https://youtu.be/oldYTMRYSl0,,,,,,,
,,승리의 함성,https://youtu.be/fgIejaueRc4,,,,,,,
,,승리의 KT WIZ,https://youtu.be/Aw3cdac7DGI,,,,,,,
,,승리하리라 kt wiz,https://youtu.be/qRQ6qUADNIk,,,,,,,
,,우리의 자랑,https://youtu.be/pPf9Qxg3FIc,,,,,,,
,,지금 이 순간,https://youtu.be/7_op5oZBr_Y,,,,,,,
,,Passion,https://youtu.be/dbt7MElNBFA,,,,,,,
,,신난다송,https://youtu.be/fElY7cM1z9c,,,,,,,
,,아파트,https://youtu.be/fElY7cM1z9c,,,,,,,
,,안타송,https://youtu.be/F4zUJT9_XCY,,,,,,,
한화,팀,라인업송,https://youtu.be/Pd7nbpMkXHM,team,플리에 있음,,,,,
,,사랑한다 최강한화,https://youtu.be/G1SuyXx8lN4,,,,,,,
,,사랑한다 이글스,https://youtu.be/un7R90I3WWA,,,,,,,
,,"내 사랑 한화, 내 사랑 이글스",https://youtu.be/2J7ZOEWPHJs,,,,,,,
,,열광,https://youtu.be/9j-6LtiEQJY,,,,,,,
,,쭉쭉 안타송,https://youtu.be/mkLyHvQhcrk,,,,,,,
,,텐션 올리고,https://youtu.be/P-oITayNKGc,,,,,,,
,,보아라 기억하라,https://youtu.be/x5g72_zRhB0,,,,,,,
,,영원한 챔프,https://youtu.be/Pd7nbpMkXHM,,플리에 있음,,,,,
,,우리가 누구,https://youtu.be/cjGc1qlnQuI,,,,,,,
,,풀카운트 응원,https://youtu.be/OMb7O4nZgn8,,,,,,,
,,이글스 화이팅,https://youtu.be/tirj49I7L-I,,,,,,,
,,터키행진곡,https://youtu.be/w0sjoWjiisM,,,,,,,
,,이글스 위하여,https://youtu.be/WL5QutJ4P8Y,,,,,,,
,,클랩 응원,https://youtu.be/kBI5xcAUH2Y,,,,,,,
,,승리위해 외쳐라,https://youtu.be/oMlNtmbYieM,,,,,,,
,,하나되어 외쳐,https://youtu.be/trTc9hZP08A,,,,,,,
,,우리들의 열정,https://youtu.be/B67NF-JzqR0,,,,,,,
,,텐션송,https://youtu.be/P-oITayNKGc,,,,,,,
,,그대에게,https://youtu.be/4EmGZMYLf1M,,,,,,,
NC,팀,위하여,https://youtu.be/QmgeKEe-LEE,team,,,,,,
,,라인업송,https://youtu.be/MJyJEWXvFyM,,,,,,,
,,창원의 NC,https://youtu.be/EK4bqkcOsYc,,,,,,,
,,승리를 위하여,https://youtu.be/LocK9O-6A_A,,,,,,,
,,승리의 NC,https://youtu.be/w2NXgN7ovZQ,,,,,,,
,,Come on Come on 마산스트리트여,https://youtu.be/9Hi4LtO01oU,,,,,,,
,,Together NC,https://youtu.be/ynl7cXSXS-0,,,,,,,
,,다이노스여 일어나라,https://youtu.be/DP_mRoLN7yM,,,,,,,
,,우리는 다이노스,https://youtu.be/XaNZH39_fqo,,,,,,,
,,가을의 주인공,https://youtu.be/FMuOMoICED0,,,,,,,
,,승리의 NC,https://youtu.be/q-wz8mokLmw,,,,,,,
,,승리하라 다이노스,https://youtu.be/sneOoyW2Z5E,,,,,,,
,,폼,https://youtu.be/Pbhn2KI5PLw,,,,,,,
,,다이노스 찬가,https://youtu.be/rRgOeG83u-c,,,,,,,
,,타자 공통 등장곡,https://youtu.be/7JfuFhJdsaA,,,,,,,
,,주먹이 운다,https://youtu.be/f8iW_VIkD5E,,,,,,,
,,안타송 1,https://youtu.be/IH6C4cLRII8,,,,,,,
,,안타송 2,https://youtu.be/caD27HYfZRY,,,,,,,
,,안타를 쌔리라,https://youtu.be/0aNhPSVCcrA,,,,,,,
,,삼진송,https://youtu.be/ASElAgFK6T0,,,,,,,
,,견제응원송,https://youtu.be/iZahQmfjIDY,,,,,,,